305
1582.88 3793.22 -13.0522,1 3,stand,17.6276 -142.163 0,,
1546.62 3574.83 -22.9351,0 2 4 6,stand,22.6208 -134.879 0,,
1442.8 3425.66 -27.7033,1 3 8 6,stand,14.8425 107.133 0,,
1374.95 3873.9 -30.7148,2 0 4 9 10,stand,7.92114 -39.6771 0,,
1116.39 3891.33 -22.2754,1 3 5 9 10,stand,15.4852 -28.5425 0,,
1106.87 3513.75 -25.9411,4 6 10 9,stand,20.4785 -9.05823 0,,
1224.53 3505.55 -19.4702,5 7 2 1 8 9,stand,23.9777 -103.266 0,,
1195.84 3293.1 -23.7319,6 8,stand,22.6208 -2.99377 0,,
1467.14 3271.97 -25.2553,7 2 6 20,stand,20.4785 136.461 0,,
835.74 3802.32 -28.2251,6 4 3 5 11 13,stand,28.3282 -94.2847 0,,
895.376 3472.52 -0.694582,3 5 13 4,stand,26.12 70.8014 0,,
588.327 3688.39 -23.9125,9 12 13,stand,19.4073 -120.125 0,,
441.954 3433.24 -26.4344,11 13 15 14,stand,2.20825 12.3376 0,,
702.458 3473.82 -29.0813,12 10 11 9 14 15,stand,37.6776 5.34485 0,,
638.319 3118.63 -24.6434,13 15 12,stand,18.0505 -176.506 0,,
392.714 3106.61 -29.5582,14 12 13 16,stand,20.8356 -79.2279 0,,
401.372 2966.47 -23.875,15 17 289 41 274,stand,3.42224 -11.9861 0,,
654.605 2941.87 -23.875,16 18 275 288 289,stand,15.1282 -35.8923 0,,
822.202 2819.76 -29.9569,17 19 40 38 288 275 289 41 283,stand,8.34412 13.8538 0,,
1079.77 2910.88 -23.875,18 20 21 288,stand,17.9077 -28.9709 0,,
1473.32 2797.52 -35.5777,19 8 21 40,stand,12.0575 62.9517 0,,
1572.63 2656.23 -30.1813,20 22 19,stand,19.7644 -7.7179 0,,
1762.42 2640.2 -30.5594,21 23,stand,11.9147 -88.8629 0,,
1762.21 2292.9 -30.1695,22 24,stand,23.6206 -10.2118 0,,
1918.25 2265.47 -27.6194,23 25 28,stand,2.77954 -91.4337 0,,
1892.11 2143.65 -26.0621,24 26 28 27 32 35,stand,9.20105 -72.3779 0,,
1948.14 1859.49 -23.875,25 27 28,stand,24.4775 -160.159 0,,
1725.48 1858.62 -23.875,26 28 25 34,stand,28.1854 118.691 0,,
1651.23 2106.07 -23.875,27 25 26 29 32 35 31 24 111,stand,15.4852 158.302 0,,
1258.75 2113.86 -23.875,28 30 39,stand,21.1926 -131.385 0,,
1094.09 1841.1 -38.4167,29 31 38 39 283 42 53,stand,19.2645 6.64673 0,,
1295.53 1842.46 -23.875,30 32 36 38 28,stand,16.3422 -69.0051 0,,
1441.07 1870.69 -29.875,31 33 25 28 35 109 111,stand,15.6995 -21.1212 0,,
1704.91 1819.39 -23.875,32 34 109 35,stand,79.6454 49.5374 0,,
1713.05 1834.35 13.4273,33 27,stand,84.9957 60.1721 0,,
1419.84 1592.36 -23.875,28 36 109 95 33 32 111 25,stand,71.8671 177.517 0,,
1318.01 1586.4 -23.875,35 37 31 103 104 96,stand,39.3915 -176.561 0,,
1141.52 1583.77 -7.875,36,stand,22.121 5.50415 0,,
1095.94 2151.8 -23.8429,31 30 39 41 42 285 18 283 53,stand,17.1991 -62.6715 0,,
860.468 1815.12 -39.875,30 29 38 53 42 41 54,stand,20.4071 -92.2906 0,,
1136.18 2751.64 -23.876,18 20 41 283 288 289 42,stand,20.05 41.7316 0,,
1089.29 2446.47 -23.875,40 38 53 42 39 283 288 18 16,stand,73.7952 -98.5913 0,,
802.127 2115.5 -23.875,38 43 39 53 41 40 54 30,stand,11.2006 -179.099 0,,
779.075 2115.5 36.125,42 44,stand,73.2239 -176.957 0,,
761.874 2115.85 8.125,43 45 49 46,stand,77.146 -21.5112 0,,
563.942 1809.49 8.125,44 46 223,stand,39.6057 -168.745 0,,
557.251 1899.98 8.125,45 47 44 51,stand,29.1852 -176.457 0,,
310.24 1893.69 8.125,46 48 49,stand,31.9702 -3.02673 0,,
311.944 1816.71 8.125,47 303,stand,33.1128 2.39502 0,,
344.112 2168.93 8.125,47 50 44,stand,53.454 88.3246 0,,
344.138 2264.82 -23.8568,49 51 284 278 282,stand,34.6124 67.7692 0,,
761.875 1864.54 8.125,50 46 52,stand,69.3677 5.19104 0,,
780.926 1865.44 36.125,51 53,stand,80.2881 1.89514 0,,
802.125 1867.19 -39.6194,52 39 41 42 38 54 30,stand,-37.326 -175.682 0,,
856.508 1602.31 -39.875,39 55 53 290 42,stand,22.5494 -83.6334 0,,
897.843 1429.85 -39.1585,54 56 290 294,stand,17.4133 -90.9119 0,,
898.006 1298.65 0.125,55 57,stand,12.9858 179.302 0,,
