339
990.537 4388.6 1190.13,1,stand,84.9957 1.49414 0,,
1141.46 4358.94 1190.13,0 2,stand,69.2963 -100.558 0,,
1131.01 3983.47 1097.13,1 3,stand,21.7639 -96.7731 0,,
1053.58 3831.08 1096.88,2 4 207,stand,16.3422 -88.3521 0,,
1001.64 3926.2 1101.93,3 5,stand,2.85095 95.9381 0,,
1012.79 4228.46 1235.43,4 6,stand,25.2631 145.679 0,,
903.566 4283.1 1237.93,5 7 14,stand,15.6281 -103.057 0,,
831.092 3892.84 1237.93,6 8 12 13,stand,15.6995 -162.79 0,,
273.03 3702.96 1237.93,7 9 126 12 10,stand,20.5499 76.311 0,,
-1.51944 3956.78 1237.93,8 10 118 119 126 127,stand,9.91516 -39.809 0,,
255.824 3856.18 1237.93,9 11 8,stand,61.6608 -0.697632 0,,
276.351 3872.85 1275.93,10 12,stand,74.8608 83.5181 0,,
299.329 3863.6 1237.93,11 7 8,stand,54.3823 -174.282 0,,
692.81 4238.04 1237.93,7 14,stand,16.6992 74.1687 0,,
737.167 4446.58 1237.93,13 6 15,stand,28.1854 -0.483398 0,,
742.267 4528.13 1266.18,14 16 17,stand,26.12 49.9054 0,,
827.213 4936.5 1265.93,15 17 19 20,stand,7.77832 -33.8983 0,,
1102.98 4878.76 1265.93,16 15 18 20,stand,22.478 -156.154 0,,
1108.57 5215.49 1265.93,17 19 21,stand,19.3359 177.512 0,,
836.166 5233.84 1265.93,18 16 21,stand,64.726 -81.5021 0,,
1135.32 4570.23 1265.93,16 17,stand,19.6216 113.78 0,,
928.324 5407.03 1265.93,18 19 22,stand,76.2177 97.7948 0,,
942.383 5467.1 1265.93,21 23 25 26,stand,73.5809 -4.20776 0,,
1158.97 5502.83 1265.93,22 24,stand,21.6211 -177.155 0,,
1132.6 5828.92 1265.93,23 26,stand,-1.27991 -120.201 0,,
554.156 5597.5 1265.93,22 26 27,stand,39.2487 -3.15857 0,,
722.318 5847.67 1265.93,25 22 24,stand,18.7646 -44.4067 0,,
176.522 5554.82 1266.43,25 28,stand,67.511 -179.879 0,,
93.9507 5555.37 1230.18,27 29,stand,38.5345 111.962 0,,
74.0711 5617.61 1230.18,28 30 31,stand,46.8127 -179.451 0,,
-39.6442 5618.27 1241.18,29 197,stand,42.2479 -140.416 0,,
92.9332 5880.34 1230.18,29 32,stand,58.0902 -1.95557 0,,
238.411 5875.88 1156.93,31 33,stand,34.1125 -88.1708 0,,
235.591 5555.21 1156.93,32 34,stand,46.8842 179.692 0,,
83.7793 5564.66 1101.93,33 35,stand,59.8755 71.922 0,,
34.0889 5610.95 1101.93,34 36 37 38 39 40,stand,45.3186 32.8107 0,,
78.8283 5781.87 1101.93,35 37 38,stand,26.8341 -83.3917 0,,
188.324 5810.62 1101.93,36 35 38,stand,33.1842 -121.218 0,,
188.324 5659.11 1101.93,35 37 36,stand,24.3347 175.193 0,,
-50.7695 5521.32 1101.93,35 40 41 42 47,stand,22.121 -96.026 0,,
-149.699 5681.61 1101.93,39 35 160 163,stand,45.033 12.2552 0,,
47.4468 5365.66 1101.93,39 43 48 47,stand,22.8351 -10.2393 0,,
-22.2284 5201.48 1101.93,39 44 45 47,stand,9.84375 1.25244 0,,
200.891 5336.8 1101.93,41 44 56 55,stand,68.0823 170.612 0,,
190.588 5201.83 1101.93,43 42 46,stand,48.7408 -176.243 0,,
-32.7053 5045.78 1101.93,42 46 50,stand,30.1849 -0.532837 0,,
175.754 5045.8 1101.93,45 44 52,stand,54.8822 -177.825 0,,
-161.48 5373.83 1101.93,42 48 39 51 41 74,stand,37.4634 -113.368 0,,
-224.405 5268.23 1101.93,47 49 51 41,stand,22.2638 -91.6699 0,,
-220.706 4892.73 1101.93,48 50 70 71 79 86,stand,30.6848 93.8177 0,,
-44.1907 4893.95 1101.93,49 45 52,stand,63.089 80.4034 0,,
-399.3 5297.84 1101.93,47 48 73 74,stand,73.0811 -76.9098 0,,
211.515 4892.35 1101.93,46 53 50,stand,17.5562 -15.8148 0,,
403.843 4902.11 1101.93,52 54 59,stand,21.9781 83.8147 0,,
418.526 5108.72 1101.93,53 55 57,stand,21.0498 90.3076 0,,
397.494 5312.13 1101.93,54 56 43,stand,25.3345 30.8606 0,,
573.229 5389.72 1101.93,55 43 57 164,stand,48.3838 136.912 0,,
639.908 5111.03 1101.93,54 56 58,stand,10.058 103.442 0,,
670.744 4872.42 1101.93,57 59 183,stand,17.5562 -169.058 0,,
506.464 4867.02 1101.93,58 53 60,stand,64.303 -141.652 0,,
511.874 4736.71 1101.93,59 61 63,stand,31.0419 125.782 0,,
482.672 4601.74 1101.93,60 62,stand,18.7646 -177.693 0,,
297.791 4603.78 1101.93,61 63,stand,16.842 65.9015 0,,
